,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
427,The Hong Kong and China Gas Company Limited,Assistant Engineer / Engineer - Business Development - Government Account,Data Engineer,Hong Kong,3.5,Unknown,,Company - Public,Wholesale,Business Services,,,
428,CL Technical Services Limited,"ETL Developer (Kwun Tong, Commercial, Multiple Vacancies)",Data Engineer,Hong Kong,4.7,1 to 50 Employees,,Company - Public,,,,,
429,Seamatch Asia,System Analyst / Analyst Programmer / QA Specialist / IT Support / Database Administrator,Data Engineer,Hong Kong,2.8,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,HK$261K - HK$528K,261.0,528.0
430,China Mobile Hong Kong Company Limited,NOC Engineer / Assistant Engineer,Data Engineer,Hong Kong,3.7,10000+ Employees,1997,Company - Public,Telecommunications Services,Telecommunications,HK$198K,198.0,198.0
431,The Hong Kong and China Gas Company Limited,Shift Assistant Engineer,Data Engineer,Hong Kong,3.5,Unknown,,Company - Public,Wholesale,Business Services,HK$122K - HK$236K,122.0,236.0
432,Millennium Management LLC,Support Engineer,Data Engineer,Hong Kong,4.1,1001 to 5000 Employees,1989,Company - Private,Investment Banking & Asset Management,Finance,HK$389K - HK$465K,389.0,465.0
433,Lynx Analytics,Senior Data Scientist (Hong Kong),Data Engineer,Hong Kong,4.3,51 to 200 Employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,HK$264K - HK$500K,264.0,500.0
434,Prudential Surveyors International Ltd,Structural Engineer/Assistant Structural Engineer,Data Engineer,Hong Kong,4.0,51 to 200 Employees,,Company - Private,,,,,
435,Alliance Contracting Co Ltd,Assistant Engineer – AC,Data Engineer,Hong Kong,,Unknown,,Company - Private,Construction,"Construction, Repair & Maintenance",,,
436,Nexperia Hong Kong Limited,Service Engineer (Open for Fresh Graduate),Data Engineer,Hong Kong,4.2,Unknown,,Company - Public,,,,,
437,Horson International Limited,Software Engineer,Data Engineer,Hong Kong,,,,,,,,,
438,Suez NWS R&R (Hong Kong) Limited,Assistant Process Plant Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
439,Dorsett Hospitality International Services Limited,Duty Engineer 當值工程師,Data Engineer,Hong Kong,,,,,,,,,
440,Pinpoint Asia,Windows Workplace (M365) Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$228K - HK$384K,228.0,384.0
441,Seamatch Asia Limited,IT Support / Network and System Engineer (Fresh Welcome),Data Engineer,Hong Kong,2.8,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,,,
442,Classy Wheeler,"Senior IT Engineer (Chinese-speaking, based in UK London) - IC",Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,,,
443,Gravity Link International,Deep Learning Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
444,Season Group,Business Applications Data Analyst,Data Engineer,Hong Kong,4.1,1001 to 5000 Employees,1975,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,,,
445,Pinpoint Asia,Senior Network Reliability Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$216K - HK$432K,216.0,432.0
446,Wellesley Associates Limited,Senior Software Engineer - Mobile - iOS/Android - Crypto Firm - Excellent Offer Package,Data Engineer,Hong Kong,2.5,1 to 50 Employees,,Private Practice / Firm,Staffing & Outsourcing,Business Services,HK$144K - HK$354K,144.0,354.0
447,Hong Kong Disneyland,Software Engineer,Data Engineer,Hong Kong,4.0,501 to 1000 Employees,2005,Company - Private,"Museums, Zoos & Amusement Parks","Arts, Entertainment & Recreation",,,
